,Unnamed: 0,DAY,MONTH,YEAR,LATITUDE,LONGITUDE,Date,Time,Type,Depth,Depth.Error,Depth.Seismic.Stations,Magnitude,Magnitude.Type,Magnitude.Error,Magnitude.Seismic.Stations,Azimuthal.Gap,Horizontal.Distance,Horizontal.Error,Root.Mean.Square,ID,Source,Location.Source,Magnitude.Source,Status,I_D,FLAG_TSUNAMI,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
28,29,1,8,1975,39.439,-121.528,8/1/1975,20:20:13,Earthquake,15.0,,,5.8,MW,,,,,,,USP0000C95,US,B,1000,Reviewed,4696,,20,20,12.9,15.0,5.6,,5.6,5.8,5.7,,,8.0,USA,CA,CALIFORNIA:  OROVILLE,150,,,,,10.0,1.0,3.0,2.0,,,,,,,,,10.0,1.0,3.0,2.0,,,,
29,30,1,8,1989,-4.511,139.022,8/1/1989,0:18:05,Earthquake,14.3,,,6.3,MW,,,,,,1.3,USP0003XWT,US,US,NC,Reviewed,5207,,0,18,4.8,14.0,5.8,,5.8,6.0,,,,,INDONESIA,,"INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",170,120.0,3.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,
30,31,1,8,1993,15.385,31.69,8/1/1993,0:20:41,Earthquake,12.5,,,5.5,MW,,,,,,1.1,USP0005XRW,US,US,HRV,Reviewed,5359,,0,20,40.5,13.0,5.5,5.5,5.1,5.2,,,,,SUDAN,,SUDAN:  KHARTOUM,15,2.0,1.0,,,9.0,1.0,,1.0,,,,,2.0,1.0,,,9.0,1.0,,1.0,,,,
31,32,1,8,2007,-15.595,167.68,8/1/2007,17:08:51,Earthquake,120.0,,494.0,7.2,MWB,,,20.4,,,1.14,USP000FHM9,US,US,US,Reviewed,7600,,17,8,51.4,120.0,7.2,7.2,,6.2,,,,,VANUATU,,VANUATU ISLANDS:  LUGANVILLE,170,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,
32,33,1,9,1981,-14.96,-173.085,9/1/1981,9:29:32,Earthquake,25.0,,,7.7,MS,,13.0,,,,1.2,USP0001FKX,US,US,US,Reviewed,4927,Tsu,9,29,31.5,25.0,7.7,,7.7,7.0,,,,6.0,SAMOA,,SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO,170,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,
33,34,10,1,1998,14.374,-91.473,1/10/1998,8:20:06,Earthquake,33.0,,,6.6,MWC,,,,,,0.93,USP0008E1G,US,US,HRV,Reviewed,5483,,8,20,5.7,33.0,6.6,6.6,6.2,6.1,,,,,GUATEMALA,,"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",100,,,,,27.0,1.0,,1.0,,2.0,,2.0,,,,,27.0,1.0,,1.0,,2.0,,1.0
34,35,10,1,1998,41.083,114.5,1/10/1998,3:50:42,Earthquake,30.3,2.8,,5.7,MWC,,,,,,0.9,USP0008E10,US,US,HRV,Reviewed,5481,,3,50,41.5,30.0,5.7,5.7,5.7,5.8,,,,8.0,CHINA,,"CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",30,70.0,2.0,,,11500.0,4.0,285.5,4.0,70000.0,4.0,,,70.0,2.0,,,11500.0,4.0,285.5,4.0,70000.0,4.0,,
35,36,10,1,2002,-3.212,142.427,1/10/2002,11:14:57,Earthquake,11.0,,333.0,6.7,MWC,,,,,,1.18,USP000AW5Z,US,US,HRV,Reviewed,5616,,11,14,56.9,11.0,6.7,6.7,6.6,6.0,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  AITAPE,170,1.0,1.0,,,,,,2.0,200.0,3.0,,,1.0,1.0,,,,,,2.0,200.0,3.0,,
36,37,10,10,1977,-25.856,-175.406,10/10/1977,11:53:54,Earthquake,33.0,,,7.2,MS,,,,,,,USP0000QZG,US,US,US,Reviewed,6453,Tsu,11,53,53.6,33.0,7.2,,7.2,6.6,,,,,TONGA,,TONGA TRENCH,170,,,,,,,,,,,,,,,,,,,,,,,,
37,38,10,10,1980,36.195,1.354,10/10/1980,12:25:24,Earthquake,10.0,,,7.3,MS,,,,,,,USP0001A5W,US,US,US,Reviewed,4896,Tsu,12,25,23.5,10.0,7.7,,7.7,6.5,,,,10.0,ALGERIA,,ALGERIA:  NORTHERN,15,5000.0,4.0,,,9000.0,4.0,5200.0,4.0,25000.0,4.0,,,5000.0,4.0,,,9000.0,4.0,5200.0,4.0,250000.0,4.0,,
38,39,10,10,1986,13.827,-89.118,10/10/1986,17:49:24,Earthquake,7.0,,,5.7,MW,,,,,,1.2,USP0002YU9,US,US,HRV,Reviewed,5111,,17,49,24.1,7.0,5.4,,5.4,5.0,,,,,EL SALVADOR,,EL SALVADOR:  SAN SALVADOR,100,1100.0,4.0,,,10000.0,4.0,1500.0,4.0,,,,,1100.0,4.0,,,20000.0,4.0,1500.0,4.0,,,,
39,40,10,10,2002,-1.757,134.297,10/10/2002,10:50:21,Earthquake,10.0,,375.0,7.6,MWC,,,,,,1.15,USP000BE54,US,US,HRV,Reviewed,5656,Tsu,10,50,20.5,10.0,7.6,7.6,7.7,6.5,,,,,INDONESIA,,"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",170,8.0,1.0,,,632.0,3.0,,3.0,1000.0,3.0,900.0,3.0,8.0,1.0,,,632.0,3.0,,3.0,1000.0,3.0,900.0,3.0
